,low_range,high_range,rebalance,compound,$Fees Accrued,$Fees Compounded,$Final Position,Rebalnces,$Total Profit,%Fee APR,%Total APR
2,0.05,0.05,True,False,397832099.303214,3399187807.2254157,2853814032.0195765,121,3251645131.3227906,3264170204.238561,2795329867.5552273
6,0.05,0.1,True,False,61538.31867420487,1110439.121717489,856126.1336232567,83,916664.4522974616,1007509.5562150391,788025.5743008609
26,0.1,0.05,True,False,5500.6676182277115,787741.483868483,589736.3020661065,74,594236.9696843341,681923.5767442186,510845.5205529705
10,0.05,0.15,True,False,2033.0914516632663,64660.89778418992,45678.77601490371,60,46711.86746656698,57334.577596278185,40156.62011846196
30,0.1,0.1,True,False,1312.1531122487925,44996.35984590919,34286.73169665964,40,34598.884808908435,39809.869824677604,29743.49665613724
50,0.15,0.05,True,False,1038.2492794302007,33572.20894077221,24949.864286624725,56,24988.113566054926,29753.445928260375,21481.440121554588
14,0.05,0.2,True,False,309.44471999430357,14790.741537021457,10109.860032588052,45,9419.304752582357,12981.12184607048,8097.459237744996
34,0.1,0.15,True,False,219.37334325947106,11755.758210120617,8242.206941592394,36,7461.580284851865,10294.617508106929,6414.469410726434
54,0.15,0.1,True,False,89.5658945399359,9092.113978168696,6509.071338651431,40,5598.637233191366,7893.181127078276,4812.959976717996
74,0.2,0.05,True,False,207.65821278167138,7796.15674198558,5738.436552744835,41,4946.094765526507,6880.61030458893,4251.991182140555
3,0.05,0.05,True,True,2.801748310844543,2015566.9271856963,4398.0987689800095,88,3400.9005172908583,1732717.4509776232,2923.639698868307
38,0.1,0.2,True,False,107.52248528872185,5535.609086105578,3867.774078649477,25,2975.2965639382,4851.210261571554,2557.7623061922145
27,0.1,0.05,True,True,3.837636284247416,8014.775750143356,3112.0170110149757,35,2115.8546472992234,6893.332018165439,1818.9290196605698
0,0.05,0.05,False,False,1966.1789459263198,0.0,1012.0463788272933,0,1978.2253247536175,1690.257857341966,1700.6137237332446
78,0.2,0.1,True,False,49.5577779295733,3733.332131506473,2892.8886307506373,27,1942.4464086802118,3252.0231213601382,1669.855793919399
18,0.05,0.3,True,False,49.93723727911749,4143.095575514349,2869.069012245516,32,1919.0062495246348,3604.609169781236,1649.7050780996872
