,low_range,high_range,rebalance,compound,$Fees Accrued,$Fees Compounded,$Final Position,Rebalnces,$Total Profit,%Fee APR,%Total APR
100,0.3,0.1,False,False,25.27758371733518,0.0,1011.3508949232896,0,36.6284786406261,19.238195774444524,27.87710450841747
101,0.3,0.1,False,True,0.1314455698405144,25.027138510458485,1036.1201680589763,0,36.25161362881818,19.147627849124202,27.590281093696582
83,0.2,0.15,True,True,13.547764577757412,172.62955980517756,1021.503050902337,13,35.050815480094684,141.69533984313736,26.676380851922637
34,0.1,0.15,True,False,5.23129693163899,420.9124621005901,1023.7342201515819,25,28.965517083222267,324.3283517916883,22.044998231887696
96,0.3,0.05,False,False,24.400216373716507,0.0,1003.3828872049248,0,27.783103578642795,18.570451384340302,21.145090125882817
97,0.3,0.05,False,True,24.400216373716507,0.0,1003.3828872049248,0,27.783103578642795,18.570451384340302,21.145090125882817
129,0.5,0.15,False,True,12.679161937497668,0.0,1014.9752819606261,0,27.654443898123986,9.64982263879058,21.04717016051834
128,0.5,0.15,False,False,12.679161937497668,0.0,1014.9752819606261,0,27.654443898123986,9.64982263879058,21.04717016051834
125,0.5,0.1,False,True,10.469484841320352,0.0,1007.5090535646377,0,17.978538405958943,7.96808750738196,13.683057900625585
124,0.5,0.1,False,False,10.469484841320352,0.0,1007.5090535646377,0,17.978538405958943,7.96808750738196,13.683057900625585
35,0.1,0.15,True,True,1.7144932429560764,413.09244019410716,1012.8456688325584,25,14.560162075515905,315.7001509043161,11.081409190401347
121,0.5,0.05,False,True,9.351748227891983,0.0,1002.147397964865,0,11.499146192757962,7.117403516623271,8.751739413428307
120,0.5,0.05,False,False,9.351748227891983,0.0,1002.147397964865,0,11.499146192757962,7.117403516623271,8.751739413428307
54,0.15,0.1,True,False,16.836178458149455,366.6611930321791,969.1551351443444,25,-14.008686397504334,291.8711532802158,-10.661693557092805
58,0.15,0.15,True,False,11.482545299391223,260.98437027076915,966.0237701866681,17,-22.493684513940252,207.36839099866256,-17.119433218255143
59,0.15,0.15,True,True,11.444309420295568,259.0355124671416,962.8069948883946,17,-25.748695691309422,205.85605905594701,-19.59674841493229
74,0.2,0.05,True,False,15.101094014861648,346.8715527361895,956.9141941222108,34,-27.984711862924996,275.4891733743889,-21.298529619393882
55,0.15,0.1,True,True,16.51359631373463,357.4400019220004,950.5860671968701,25,-32.90033648939345,284.6076038701169,-25.039700056219562
82,0.2,0.15,True,False,8.438817790946771,190.17257775336512,958.4673057088127,15,-33.093876500240185,151.1586294498847,-25.186998969774468
75,0.2,0.05,True,True,14.975831593293488,341.175014269981,948.9766639625722,34,-36.047504444131846,271.0583327334745,-27.434938221598237
98,0.3,0.05,True,False,47.60389999363622,130.89570715064232,914.6643741673292,28,-37.731725839033174,135.85200335220523,-28.716760933964473
99,0.3,0.05,True,True,19.1903274934618,156.1492408761465,942.5767080409353,28,-38.232964465601526,133.4469694976343,-29.098242286591642
78,0.2,0.1,True,False,10.865406931538333,246.42131455000862,937.7478220393167,21,-51.38677102914369,195.81508950289785,-39.1093061872545
79,0.2,0.1,True,True,10.817545460735985,244.39499943925787,933.6170986998497,21,-55.56535583941297,194.236480740569,-42.28953233303721
