,low_range,high_range,rebalance,compound,$Fees Accrued,$Fees Compounded,$Final Position,Rebalnces,$Total Profit,%Fee APR,%Total APR
36,0.1,0.2,False,False,85.38441667059493,0.0,1042.7598423370503,0,128.1442590076465,73.40210893370094,110.16130607526837
69,0.15,0.5,False,True,13.869637489245466,25.125299019334797,1110.1483189820597,0,124.01795647130552,33.52263432926038,106.61406267798202
33,0.1,0.15,False,True,14.943182930689412,77.14981073326678,1108.4137506611175,0,123.356933591808,79.1692467611636,106.0458035588066
37,0.1,0.2,False,True,3.0038029340361483,76.32621999139238,1118.1136813587655,0,121.11748429280306,68.19735042460793,104.12062437732642
29,0.1,0.1,False,True,21.992127579719494,77.52163719443332,1097.658648302618,0,119.65077588233976,85.54863389809427,102.8597445269184
40,0.1,0.3,False,False,66.14660481534925,0.0,1052.382783045689,0,118.52938786103812,56.86400963517757,101.89572499143215
41,0.1,0.3,False,True,9.39973999604994,50.36375616128129,1105.2300653536818,0,114.62980534973155,51.37666598019837,98.54338516816959
93,0.2,0.5,False,True,8.404618072791546,25.049023606051325,1104.800973828336,0,113.20559190112772,28.758969686620567,97.31903680607252
68,0.15,0.5,False,False,56.75705858505497,0.0,1055.47206010318,0,112.2291186882353,48.79213279735837,96.47959565347809
52,0.15,0.1,False,False,87.44573646926088,0.0,1018.2849157921192,0,105.73065226138067,75.17415617965905,90.89308280762465
56,0.15,0.15,False,False,76.50415832734625,0.0,1028.725025009923,0,105.22918333726966,65.76804974951456,90.46198685323675
48,0.15,0.05,False,False,99.13599055051694,0.0,1005.9506208664957,0,105.08661141701327,85.22387411408526,90.33942257242757
60,0.15,0.2,False,False,62.6443298675068,0.0,1036.008288283832,0,98.65261815133954,53.853221750673214,84.80833513304563
92,0.2,0.5,False,False,46.67348394060365,0.0,1050.271554468507,0,96.9450384091108,40.12362309319805,83.34038630655648
64,0.15,0.3,False,False,50.820639331616015,0.0,1045.5042357770635,0,96.32487510867963,43.688792987728775,82.80725279215247
57,0.15,0.15,False,True,19.924016099724078,51.17157651802603,1076.24276844848,0,96.16678454820453,61.118487863738096,82.67134765871167
65,0.15,0.3,False,True,24.95558848665092,25.04546734998389,1069.8096643676379,0,94.76525285428875,42.98422464464387,81.46649803764174
117,0.3,0.5,False,True,2.7892908837128614,25.010224321576615,1090.5491347395694,0,93.33842562328277,23.898307477756223,80.23990269479465
61,0.15,0.2,False,True,1.483660238922391,50.119592735945204,1087.3642313494556,0,88.84789158837884,44.36157959370368,76.37954173839051
49,0.15,0.05,False,True,8.155029631040563,76.49388819237521,1079.355755962407,0,87.51078559344842,72.76982533200417,75.2300767221402
88,0.2,0.3,False,False,39.99137200017297,0.0,1040.2224941243683,0,80.21386612454137,34.37923638091416,68.95716067232408
80,0.2,0.15,False,False,55.18869053022039,0.0,1024.3784751728952,0,79.56716570311596,47.443859572593794,68.4012140882528
84,0.2,0.2,False,False,46.145756359620655,0.0,1031.098067154218,0,77.24382351383974,39.6699534553756,66.40391501287898
76,0.2,0.1,False,False,60.11894382261683,0.0,1015.1421958903486,0,75.26113971296593,51.682232373515575,64.69946848729948
116,0.3,0.5,False,False,32.90566309643538,0.0,1042.3339406050582,0,75.23960370149393,28.287890944531313,64.68095470314888
89,0.2,0.3,False,True,12.899529420079551,25.28236907807146,1061.6818544491075,0,74.5813838691871,32.8236929189208,64.11510526929138
81,0.2,0.15,False,True,24.940851544958296,25.296953614789206,1046.7204147831653,0,71.66126632812416,43.18775006863476,61.604778511714215
85,0.2,0.2,False,True,18.339203283456005,25.045138129872303,1052.770167574351,0,71.10937085780824,37.29605797652172,61.13033255293434
72,0.2,0.05,False,False,62.93488910604273,0.0,1004.7490531915283,0,67.6839422975736,54.1030057476875,58.185606921172344
53,0.15,0.1,False,True,0.23617544283925035,75.40270584207057,1065.338098828593,0,65.57427427143296,65.02420020174785,56.37199633147723
77,0.2,0.1,False,True,0.43945097567612645,50.88748889408693,1064.3491491100335,0,64.7886000857103,44.124042518069146,55.696578680159234
113,0.3,0.3,False,True,0.3484136327406113,25.057695206550516,1064.2379148685272,0,64.5863285012681,21.840776588046158,55.52269260756709
112,0.3,0.3,False,False,25.839366853073628,0.0,1032.6443430574582,0,58.48370991053207,22.213233918834643,50.27647682200796
73,0.2,0.05,False,True,25.783088658499796,25.7042346301353,1030.2283849799408,0,56.01147363844302,44.261918744695244,48.151178515482044
108,0.3,0.2,False,False,28.017066361198257,0.0,1024.434195621171,0,52.45126198237051,24.085328883620903,45.09058439308795
109,0.3,0.2,False,True,1.4336291799295113,25.21156646311998,1050.6294317326003,0,52.063060912531114,22.90597780501608,44.75686100037027
141,0.5,0.5,False,True,18.32995005667344,0.0,1032.1737948598438,0,50.50374491651792,15.757641069328699,43.41636952587804
140,0.5,0.5,False,False,18.32995005667344,0.0,1032.1737948598438,0,50.50374491651792,15.757641069328699,43.41636952587804
104,0.3,0.15,False,False,31.775306668914787,0.0,1018.7147890216168,0,50.490095690531575,27.316161572099464,43.40463574573667
105,0.3,0.15,False,True,3.755826323318614,25.345014657000352,1042.5992667281896,0,46.355093051508334,25.017013443336033,39.84991316302385
100,0.3,0.1,False,False,32.93337491058081,0.0,1011.2686108951432,0,44.201985805724235,28.311713858359955,37.99895933838511
101,0.3,0.1,False,True,5.1225431449150545,25.615295371112435,1033.522462436777,0,38.6450055816922,26.42428512270862,33.22181049024767
136,0.5,0.3,False,False,13.061193472602726,0.0,1023.7101017996273,0,36.771295272230304,11.228268382728155,31.611044807138132
137,0.5,0.3,False,True,13.061193472602726,0.0,1023.7101017996273,0,36.771295272230304,11.228268382728155,31.611044807138132
96,0.3,0.05,False,False,30.820853226589392,0.0,1003.3828872049259,0,34.20374043151514,26.495650075066052,29.403804335630287
97,0.3,0.05,False,True,3.781624821381903,25.389271589001122,1026.961333560698,0,30.742958382079905,25.0772377384647,26.428686499216877
132,0.5,0.2,False,False,13.074630968559184,0.0,1017.1039369348206,0,30.178567903379985,11.239820145689741,25.943499002316848
133,0.5,0.2,False,True,13.074630968559184,0.0,1017.1039369348206,0,30.178567903379985,11.239820145689741,25.943499002316848
128,0.5,0.15,False,False,13.996686808554234,0.0,1012.7776835388968,0,26.77437034745128,12.032480514517678,23.017024950311413
129,0.5,0.15,False,True,13.996686808554234,0.0,1012.7776835388968,0,26.77437034745128,12.032480514517678,23.017024950311413
124,0.5,0.1,False,False,13.640365046576349,0.0,1007.4546195152484,0,21.094984561824845,11.726162689696647,18.13464816109771
125,0.5,0.1,False,True,13.640365046576349,0.0,1007.4546195152484,0,21.094984561824845,11.726162689696647,18.13464816109771
121,0.5,0.05,False,True,11.812553426958639,0.0,1002.1473979648644,0,13.959951391824575,10.15485456527555,12.000900313285914
120,0.5,0.05,False,False,11.812553426958639,0.0,1002.1473979648644,0,13.959951391824575,10.15485456527555,12.000900313285914
95,0.2,0.5,True,True,8.680830616906881,70.27720961097525,980.5579525936324,1,-10.76121678946049,67.87756942063272,-9.251055846484194
2,0.05,0.05,True,False,20.30381217806238,2473.0041925003115,963.7400232157486,121,-15.95616460618794,2143.412965749026,-13.716977620236165
