,low_range,high_range,rebalance,compound,$Fees Accrued,$Fees Compounded,$Final Position,Rebalnces,$Total Profit,%Fee APR,%Total APR
2,0.05,0.05,True,False,432.8878469602464,8682.616747689384,6696.451269273416,85,6129.339116233667,6937.603844407567,4664.90101287638
3,0.05,0.05,True,True,19.37844327427093,6642.066524628517,4760.164188776183,87,3779.542632050459,5069.874710584592,2876.524192594453
6,0.05,0.1,True,False,61.383592943579266,2245.588469438114,2187.979191716834,56,1249.3627846604206,1755.7841239325612,950.8616849370432
26,0.1,0.05,True,False,121.1425255071135,1899.8889409032838,1911.677735771766,54,1032.820261278883,1538.1612203088741,786.0560806953124
7,0.05,0.1,True,True,15.764542480127593,2042.0093720342825,1988.4884323901665,56,1004.2529748703016,1566.1250643915175,764.3141667996445
46,0.1,0.5,True,False,105.55851050883486,96.01793956455933,1631.7581772460444,4,737.3166877548806,153.41526521658864,561.1550117057135
27,0.1,0.05,True,True,16.567723200092935,1729.061873519648,1701.7887056582103,53,718.3564288583068,1328.5591022819274,546.7247886011112
47,0.1,0.5,True,True,0.4494646625560405,161.60452904855487,1702.467188276341,4,702.9166529388983,123.33561988786565,534.9739252601873
70,0.15,0.5,True,False,79.42721419207953,74.24188470141175,1501.0685129580838,4,580.4957271501636,116.9540665774964,441.80213465121045
30,0.1,0.1,True,False,60.124530815102716,1008.8247101128718,1505.8954965467663,30,566.0200273618722,813.553027847879,430.78500779235594
71,0.15,0.5,True,True,7.637562849756501,121.76473824212775,1546.1962246861463,4,553.8337875359028,98.48515704299793,421.51033699517893
94,0.2,0.5,True,False,60.72405491614556,70.3458437855802,1487.7578413495357,3,548.4818962656814,99.75432776951502,417.43713390854634
95,0.2,0.5,True,True,0.33823569913439555,117.70060159860378,1539.891051632937,3,540.2292873320714,89.83668242642803,411.1562603847911
22,0.05,0.5,True,False,116.51060772220407,110.71094838552753,1419.9365303715485,13,536.4471380937548,172.93317389259192,408.2777523632756
31,0.1,0.1,True,True,19.46600040114594,909.9348980673751,1509.620352330875,28,529.0863527320242,707.345948790988,402.6756255371457
23,0.05,0.5,True,True,0.927862336774957,181.91541848050377,1520.2280869481465,13,521.1559492849237,139.1578748878684,396.639975302862
42,0.1,0.3,True,False,46.19893659638518,297.6715233054452,1440.232338172118,10,486.4312747685033,261.7120094474399,370.21181294284
