date,price,volume,log_return,volatility,smoothed_volatility
2023-01-05 23:00:00,16841.43,3680204.1134443,0.00021259361919179714,0.00020314285147548063,0.00022961918189469128
2023-01-05 23:01:00,16841.37,1698774.6709828,-3.5626491859654693e-06,0.0002031429285364681,0.0002295202347792312
2023-01-05 23:02:00,16846.95,3522663.5087718,0.00033127208783527136,0.00020351476847038196,0.00022942156213335722
2023-01-05 23:03:00,16841.45,2934702.1041361,-0.00032652189174114,0.0002038740689990398,0.00022932312952920334
2023-01-05 23:04:00,16842.99,2146025.453712,9.143687715003788e-05,0.00020388958831320288,0.00022922427535669305
2023-01-05 23:05:00,16845.16,2609200.5786742,0.00012882868326106954,0.00020392998420623546,0.00022912522418782894
2023-01-05 23:06:00,16838.3,2147881.8539182,-0.00040732158126549373,0.0002044917623041315,0.0002290265973881096
2023-01-05 23:07:00,16834.25,1566229.3131689,-0.00024055202350455073,0.00020468640131432518,0.00022892810748083707
2023-01-05 23:08:00,16832.34,2306458.7645743,-0.00011346560504334739,0.00020471866228302194,0.00022882964238700866
2023-01-05 23:09:00,16836.17,2308368.8065767,0.0002275122965951078,0.0002048923358575447,0.00022873134405764853
2023-01-05 23:10:00,16836.51,1489474.3780046,2.0194412800574827e-05,0.00020489251590959855,0.00022863280470602804
2023-01-05 23:11:00,16830.53,2900236.4004084,-0.000355243589153597,0.000205110941768272,0.00022853426401540038
2023-01-05 23:12:00,16827.66,3327932.8114247,-0.00017053798834432032,0.00020520534946134536,0.00022843569884714113
2023-01-05 23:13:00,16836.99,2122634.8243716,0.0005542906424916935,0.00020624254919148911,0.00022833784389663197
2023-01-05 23:14:00,16838.91,1604908.0702065,0.00011402813300191161,0.00020628459743813409,0.0002282400210821589
2023-01-05 23:15:00,16837.42,2055264.6632248,-8.848945244173837e-05,0.0002063088270948394,0.00022814221253697337
2023-01-05 23:16:00,16832.7,1546988.2194702,-0.00028036728297463586,0.00020656147939907723,0.00022804453762065101
2023-01-05 23:17:00,16835.67,1263983.0290426,0.00017642671787808077,0.00020666525056027048,0.00022794691541291848
2023-01-05 23:18:00,16835.05,1256833.9752283,-3.682724931745231e-05,0.0002066696052236667,0.00022784929506427506
2023-01-05 23:19:00,16835.19,1883825.6624052,8.315949039901678e-06,0.0002065030055902334,0.0002277514214231011
2023-01-05 23:20:00,16831.45,2358627.6228791,-0.00022217839471846547,0.00020665300707109106,0.00022765368778516107
2023-01-05 23:21:00,16828.85,1457635.2624678,-0.00015448466027774568,0.0002067318678071984,0.00022755592435700622
2023-01-05 23:22:00,16836.12,3102619.3879662,0.0004319029610310649,0.0002073536433372644,0.00022745857453200397
2023-01-05 23:23:00,16834.05,3878615.8368294,-0.00012295750229993156,0.00020739525666582873,0.00022736131917087607
2023-01-05 23:24:00,16833.89,1859949.1068367,-9.504591014510629e-06,0.0002073487444527793,0.0002272640403981576
2023-01-05 23:25:00,16825.95,6367020.1915816,-0.00047177884073543,0.0002080179275188579,0.00022716722115736243
2023-01-05 23:26:00,16826.36,2982385.2222439,2.4366826528174072e-05,0.00020799603207431844,0.00022707027020942136
2023-01-05 23:27:00,16823.69,2177624.6876221,-0.00015869218652601457,0.0002080638403595746,0.0002269733489315966
2023-01-05 23:28:00,16830.29,1774748.1613317,0.00039222701651431773,0.00020852007388493196,0.00022687664903575828
2023-01-05 23:29:00,16829.66,1610407.2253182,-3.743321068948594e-05,0.00020852493741791922,0.00022677943670037975
2023-01-05 23:30:00,16827.2,1449165.6423222,-0.00014618119482210179,0.00020859613470831687,0.00022668220041692104
2023-01-05 23:31:00,16825.93,642518.8192377,-7.547589187710604e-05,0.00020860998663163103,0.00022658497260577722
2023-01-05 23:32:00,16826.93,683875.2204662,5.943031292395968e-05,0.0002086215256496877,0.00022648747237231129
2023-01-05 23:33:00,16829.12,1894964.8085144,0.00013014004929815513,0.00020866870960632968,0.00022639001228220645
2023-01-05 23:34:00,16826.76,1489166.3411429,-0.00014024295331859784,0.00020872415970213742,0.00022629254854806253
2023-01-05 23:35:00,16826.41,1849848.7064962,-2.0800417910763386e-05,0.00020834060303021105,0.00022619487508174094
2023-01-05 23:36:00,16827.02,1878417.3763814,3.625187685577111e-05,0.00020834088874536276,0.00022609715343907593
2023-01-05 23:37:00,16830.28,1009886.9763616,0.00019371726253696208,0.00020843473385300182,0.00022599949787740928
2023-01-05 23:38:00,16830.32,1108273.1590337,2.3766658942229986e-06,0.00020843292726637866,0.0002259017940944223
2023-01-05 23:39:00,16831.16,1653522.6926034,4.9908679010897676e-05,0.0002083496261164035,0.00022580403205301724
2023-01-05 23:40:00,16829.27,738427.8809656,-0.0001122980307729696,0.00020832325421646388,0.00022570625830922335
2023-01-05 23:41:00,16827.3,1793107.8974756,-0.0001170648109566881,0.00020835552224441703,0.00022560844601660654
2023-01-05 23:42:00,16824.18,1244990.4729619,-0.00018543018071942032,0.00020845938388689913,0.00022551069439622889
2023-01-05 23:43:00,16827.3,2282576.3015278,0.00018543018071954346,0.00020857316044228916,0.00022541300201549608
2023-01-05 23:44:00,16828.07,1907595.9593799,4.5757928088962205e-05,0.00020857561702334067,0.0002253153341217635
2023-01-05 23:45:00,16830.76,2853182.1471008,0.0001598391866696045,0.00020864409060028052,0.00022521772153557296
2023-01-05 23:46:00,16834.27,1516111.6495386,0.0002085249894458637,0.00020876498605804225,0.00022512014384788997
2023-01-05 23:47:00,16834.9,2084337.8233093,3.742295994085091e-05,0.00020874869682918913,0.0002250225504749411
2023-01-05 23:48:00,16834.88,648455.4220985,-1.1880089504614023e-06,0.00020874866768179565,0.00022492493744167587
2023-01-05 23:49:00,16834.88,470164.0028847,0.0,0.00020874731648286074,0.00022482732329072569
2023-01-05 23:50:00,16836.67,817866.9450958,0.00010632121192414466,0.0002087574962412577,0.00022472971636355025
2023-01-05 23:51:00,16830.93,1183865.4193706,-0.00034098064938473794,0.00020914317481592802,0.00022463219411616458
2023-01-05 23:52:00,16826.77,1345942.2332685,-0.0002471945510942489,0.00020908065936891564,0.00022453465133307182
2023-01-05 23:53:00,16832.01,1642686.6494876,0.00031136006963588663,0.00020910493196528857,0.00022443717362469635
2023-01-05 23:54:00,16828.77,1711314.6754418,-0.00019250890858757424,0.0002092263890307424,0.00022433977563838424
2023-01-05 23:55:00,16829.45,946266.7260194,4.040617715925945e-05,0.00020916362412234875,0.00022424235407641783
2023-01-05 23:56:00,16829.98,1962015.1671913,3.149191772058847e-05,0.00020896902539746528,0.00022414479689824947
2023-01-05 23:57:00,16832.38,1524244.6664205,0.00014259249821270474,0.00020802569146685646,0.0002240465952696569
2023-01-05 23:58:00,16832.12,1626277.2821678,-1.544653863908831e-05,0.00020752759744265876,0.00022394794281396568
2023-01-05 23:59:00,16831.85,1123261.5515471,-1.6040888820072263e-05,0.0002075237891809423,0.0002238492599185558
2023-01-06 00:00:00,16830.47,1919287.3890687,-8.199078380642576e-05,0.00020741439028439733,0.000223750340451983
2023-01-06 00:01:00,16832.91,2357744.0829018,0.00014496464729762653,0.00020747439113837077,0.0002236516404060308
2023-01-06 00:02:00,16829.52,2410795.2702843,-0.000201411485235034,0.00020756217899466995,0.0002235529232373501
2023-01-06 00:03:00,16832.04,2137259.8481275,0.00014972568144253399,0.00020760421365380676,0.00022345438524444408
2023-01-06 00:04:00,16828.06,1012046.7484356,-0.00023648177031840488,0.00020776836131396642,0.000223356132434784
2023-01-06 00:05:00,16827.4,1454197.1043865,-3.9220976333921554e-05,0.00020774632686538805,0.00022325787213330333
2023-01-06 00:06:00,16826.88,938813.9180488,-3.090245876846885e-05,0.00020772432892534652,0.0002231596224687201
2023-01-06 00:07:00,16832.86,1908897.2211761,0.0003553206330717237,0.00020807981841848577,0.0002230616118668567
2023-01-06 00:08:00,16834.2,1803163.2529436,7.960303042244468e-05,0.00020802911025654316,0.00022296362017969743
2023-01-06 00:09:00,16834.23,997906.8581511,1.7820848789252154e-06,0.00020802796507814485,0.00022286570351109832
2023-01-06 00:10:00,16830.91,1582676.8843739,-0.00019723666741101447,0.00020815358441062548,0.00022276785867377232
2023-01-06 00:11:00,16831.55,1201084.7061223,3.8024553171588024e-05,0.00020815822697143008,0.0002226700439707559
2023-01-06 00:12:00,16830.68,1459432.580463,-5.1689980146437414e-05,0.00020774681263019,0.00022257184585295584
2023-01-06 00:13:00,16828.69,1617923.6089067,-0.00011824344913881991,0.00020778383750090436,0.00022247367471486985
2023-01-06 00:14:00,16830.32,835843.5511897,9.685371027100204e-05,0.00020779094490001854,0.00022237552149373112
2023-01-06 00:15:00,16829.89,931106.1954645,-2.5549454386874625e-05,0.0002077893057869893,0.00022227736821684997
2023-01-06 00:16:00,16829.67,931071.3050246,-1.3072066301730903e-05,0.00020769109048055656,0.00022217908500112517
2023-01-06 00:17:00,16829.83,741863.422649,9.506974257150598e-06,0.00020766954051701277,0.00022208066290117846
2023-01-06 00:18:00,16830.83,1060422.5490475,5.941654146368051e-05,0.0002075736991715402,0.00022198227066063975
2023-01-06 00:19:00,16833.99,2131495.323929,0.00018773307026634394,0.0002076877540544504,0.0002218839862788016
2023-01-06 00:20:00,16833.63,1849877.5033876,-2.138553304422486e-05,0.0002076042804395863,0.00022178544828345992
2023-01-06 00:21:00,16836.44,1244620.3245105,0.0001669138202874408,0.00020768992656847212,0.000221686837643208
2023-01-06 00:22:00,16837.31,1269329.2778175,5.167229668186867e-05,0.00020769316874663034,0.00022158835831773428
2023-01-06 00:23:00,16836.65,964866.2164445,-3.919942888122686e-05,0.00020769067266213404,0.00022148990367689824
2023-01-06 00:24:00,16836.33,665729.1676109,-1.9006336832028616e-05,0.00020755335862524278,0.00022139135344841925
2023-01-06 00:25:00,16836.16,1171952.7051688,-1.0097263374500902e-05,0.00020754974407245403,0.00022129284344369495
2023-01-06 00:26:00,16838.65,1020635.7955368,0.00014788502174404813,0.0002076129949568053,0.00022119441530460039
