date,price,volume,log_return,volatility,smoothed_volatility
2023-01-01 00:00:00,1196.13,78336.933825,,,
2023-01-01 00:01:00,1196.09,73172.254498,-3.344174031144367e-05,,
2023-01-01 00:02:00,1195.85,39389.839241,-0.0002006739306215338,0.00011825101580094397,0.00011825101580094397
2023-01-01 00:03:00,1195.82,67978.442332,-2.508707305063562e-05,9.905146010413974e-05,0.00010865123795254185
2023-01-01 00:04:00,1196.32,141237.845266,0.0004180357397824046,0.00026486766334481057,0.00016072337974996475
2023-01-01 00:05:00,1196.6,51413.159435,0.00023402370432605045,0.00024529137480541134,0.00018186537851382642
2023-01-01 00:06:00,1196.51,64943.838867,-7.52159324413181e-05,0.00022820175511722003,0.00019113265383450515
2023-01-01 00:07:00,1196.39,51337.674594,-0.00010029671118770557,0.0002162202696083176,0.00019531392313014052
2023-01-01 00:08:00,1195.61,140473.599993,-0.0006521739361594155,0.0003137223051692671,0.0002122294062785872
2023-01-01 00:09:00,1195.38,507660.584755,-0.00019238892735578606,0.00029704554118312263,0.00022283142314165412
2023-01-01 00:10:00,1195.42,96990.450551,3.3461602813971764e-05,0.0002819505153260193,0.00022940021116213914
2023-01-01 00:11:00,1195.47,16235.093192,4.182542903039326e-05,0.0002692165391155684,0.00023338184395748206
2023-01-01 00:12:00,1195.0,53415.102909,-0.00039322811502030835,0.00027512862805139716,0.000237177006147838
2023-01-01 00:13:00,1194.99,34522.974103,-8.368235850415944e-06,0.00026413816780358014,0.00023942376961914985
2023-01-01 00:14:00,1194.55,72478.489005,-0.00036827172173136324,0.00026573477680244274,0.00024144769324863392
2023-01-01 00:15:00,1194.44,241434.353713,-9.208912559507434e-05,0.0002560691419919519,0.0002424920824445852
2023-01-01 00:16:00,1194.77,160409.278364,0.0002762419394681189,0.00026415795435772127,0.00024393647390546093
2023-01-01 00:17:00,1195.17,64076.249169,0.000334736440023705,0.0002740561541452366,0.0002458189539204469
2023-01-01 00:18:00,1195.53,216760.274122,0.00030116702448733645,0.00027826622454559376,0.00024772761689839673
2023-01-01 00:19:00,1195.98,36511.654149,0.00037633127631570706,0.00028588351447665156,0.00024984738898607754
2023-01-01 00:20:00,1196.04,18448.641238,5.016680463576041e-05,0.00027854795728816603,0.0002513579452125033
